claim_id,claim_type,accident_year,accident_month,status
10330,Wind/Hail,2019,5,Closed
10331,Fire,2023,6,Open
10332,Wind/Hail,2024,4,Open
10333,Water Damage,2022,6,Closed
10334,Fire,2021,2,Closed
10335,Wind/Hail,2021,2,Closed
10336,Wind/Hail,2022,11,Closed
10337,Water Damage,2018,10,Closed
10338,Flood,2024,3,Open
10339,Flood,2022,11,Open
10340,Water Damage,2020,2,Closed
10341,Wind/Hail,2025,3,Open
10342,Theft,2021,5,Closed
10343,Theft,2020,11,Closed
10344,Water Damage,2020,9,Closed
10345,Theft,2021,9,Closed
10346,Flood,2024,8,Open
10347,Theft,2018,11,Closed
10348,Water Damage,2023,6,Closed
10349,Theft,2022,10,Closed
10350,Wind/Hail,2019,4,Closed
10351,Water Damage,2018,10,Closed
10352,Flood,2023,10,Open
10353,Water Damage,2022,3,Closed
10354,Fire,2019,1,Closed
10355,Wind/Hail,2019,11,Closed
10356,Theft,2020,8,Closed
10357,Water Damage,2024,2,Open
10358,Water Damage,2024,7,Open
10359,Wind/Hail,2024,7,Open
10360,Wind/Hail,2024,11,Open
10361,Wind/Hail,2023,11,Closed
10362,Wind/Hail,2019,5,Closed
10363,Fire,2025,1,Open
10364,Wind/Hail,2023,11,Open
10365,Wind/Hail,2022,10,Closed
10366,Water Damage,2018,5,Closed
10367,Flood,2023,4,Open
10368,Wind/Hail,2024,7,Open
10369,Fire,2022,3,Open
10370,Water Damage,2020,5,Closed
10371,Flood,2022,1,Open
10372,Water Damage,2024,9,Open
10373,Fire,2024,8,Open
10374,Flood,2021,3,Closed
10375,Wind/Hail,2024,12,Open
10376,Theft,2018,7,Closed
10377,Water Damage,2024,1,Open
10378,Water Damage,2021,9,Closed
10379,Water Damage,2024,6,Open
10380,Water Damage,2019,6,Closed
10381,Fire,2020,11,Closed
10382,Water Damage,2020,5,Closed
10383,Flood,2021,4,Closed
10384,Fire,2022,9,Open
10385,Wind/Hail,2022,6,Closed
10386,Water Damage,2024,3,Open
10387,Theft,2024,9,Closed
10388,Water Damage,2018,11,Closed
10389,Water Damage,2020,2,Closed
10390,Water Damage,2025,1,Open
10391,Water Damage,2022,8,Closed
10392,Water Damage,2025,5,Open
10393,Wind/Hail,2020,7,Closed
10394,Theft,2021,6,Closed
10395,Fire,2020,1,Closed
10396,Flood,2025,11,Open
10397,Wind/Hail,2024,8,Open
10398,Wind/Hail,2020,3,Closed
10399,Fire,2020,6,Closed
10400,Wind/Hail,2023,9,Open
10401,Water Damage,2023,1,Closed
10402,Fire,2022,10,Open
10403,Fire,2022,11,Open
10404,Fire,2018,4,Closed
10405,Theft,2023,12,Closed
10406,Theft,2023,6,Closed
10407,Wind/Hail,2023,10,Open
10408,Wind/Hail,2025,10,Open
10409,Theft,2019,8,Closed
10410,Theft,2023,4,Closed
10411,Water Damage,2023,1,Closed
10412,Water Damage,2024,12,Open
10413,Fire,2023,3,Open
10414,Theft,2024,9,Open
10415,Fire,2023,9,Open
10416,Fire,2021,4,Closed
10417,Wind/Hail,2020,6,Closed
10418,Fire,2018,12,Closed
10419,Water Damage,2023,1,Closed
10420,Water Damage,2023,1,Closed
10421,Water Damage,2021,10,Closed
10422,Fire,2021,3,Closed
10423,Flood,2025,5,Open
10424,Water Damage,2020,3,Closed
10425,Wind/Hail,2024,5,Open
10426,Water Damage,2022,12,Closed
10427,Theft,2025,11,Open
10428,Wind/Hail,2023,10,Closed
10429,Fire,2022,11,Open
10430,Water Damage,2023,4,Closed
10431,Water Damage,2021,1,Closed
10432,Wind/Hail,2018,2,Closed
10433,Theft,2022,11,Closed
10434,Water Damage,2022,3,Closed
10435,Water Damage,2022,8,Closed
10436,Wind/Hail,2019,12,Closed
10437,Water Damage,2022,1,Closed
10438,Wind/Hail,2025,5,Open
10439,Theft,2022,1,Closed
10440,Wind/Hail,2020,9,Closed
10441,Water Damage,2024,11,Open
10442,Wind/Hail,2023,10,Open
10443,Fire,2021,2,Closed
10444,Theft,2025,9,Open
10445,Fire,2022,10,Open
10446,Fire,2020,2,Closed
10447,Fire,2022,1,Open
10448,Wind/Hail,2025,1,Open
10449,Water Damage,2022,10,Closed
10450,Water Damage,2019,1,Closed
10451,Wind/Hail,2023,6,Closed
10452,Theft,2019,6,Closed
10453,Water Damage,2021,8,Closed
10454,Water Damage,2024,8,Open
10455,Theft,2018,9,Closed
10456,Water Damage,2020,6,Closed
10457,Water Damage,2021,6,Closed
10458,Flood,2018,7,Closed
10459,Fire,2020,11,Closed
10460,Water Damage,2020,10,Closed
10461,Water Damage,2022,6,Closed
10462,Wind/Hail,2021,11,Closed
10463,Fire,2021,12,Closed
10464,Theft,2022,10,Closed
10465,Water Damage,2024,7,Open
10466,Water Damage,2019,3,Closed
10467,Flood,2021,7,Closed
10468,Flood,2019,5,Closed
10469,Water Damage,2019,9,Closed
10470,Water Damage,2025,11,Open
10471,Theft,2022,8,Closed
10472,Fire,2022,6,Open
10473,Water Damage,2022,9,Closed
10474,Wind/Hail,2022,9,Closed
10475,Water Damage,2025,12,Open
10476,Wind/Hail,2023,5,Closed
10477,Water Damage,2024,10,Open
10478,Wind/Hail,2024,6,Open
10479,Wind/Hail,2020,12,Closed
10480,Wind/Hail,2022,7,Closed
10481,Wind/Hail,2025,11,Open
10482,Water Damage,2023,7,Closed
10483,Fire,2018,1,Closed
10484,Water Damage,2023,2,Closed
10485,Water Damage,2019,3,Closed
10486,Wind/Hail,2020,2,Closed
10487,Water Damage,2025,4,Open
10488,Wind/Hail,2019,2,Closed
10489,Theft,2022,8,Closed
10490,Flood,2024,8,Open
10491,Theft,2025,2,Open
10492,Fire,2023,6,Open
10493,Theft,2021,9,Closed
10494,Theft,2023,9,Closed
10495,Wind/Hail,2020,11,Closed
10496,Fire,2018,2,Closed
10497,Theft,2019,4,Closed
